"Gemeenten";"Bevolking totaal";"Bevolking totaal vrouwen";"Bevolkingsdichtheid";"Bevolking totaal mannen";"Gemiddelde leeftijd bevolking";"Gemiddelde leeftijd mannen";"Gemiddelde leeftijd vrouwen";"Bevolking leeftijd -4 jaar";"Totaalscore Leefbaarometer 2.0 (label)"
"Ermelo";26590;13412;304;13178;43,8;42,5;45,0;1185;7
"Etten-Leur";43027;21784;769;21243;42,1;41,4;42,8;2176;7
"Ferwerderadiel";8735;4262;66;4473;41,7;41,1;42,4;508;7
"Franekeradeel";20215;10048;185;10167;43,3;42,7;43,9;933;6
"Geertruidenberg";21504;10810;726;10694;42,7;42,0;43,4;1088;6
"Geldermalsen";26587;13408;261;13179;41,6;40,6;42,6;1350;6
"Geldrop-Mierlo";39078;19710;1245;19368;43,3;42,3;44,4;1897;7
"Gemert-Bakel";30024;14852;243;15172;41,9;41,5;42,3;1611;7
"Gennep";17129;8383;340;8746;44,4;43,7;45,1;738;6
"Giessenlanden";14596;7192;224;7404;42,0;41,1;43,0;710;7
"Gilze en Rijen";26220;13088;399;13132;42,5;41,9;43,2;1281;7
"Goeree-Overflakkee";48653;24611;115;24042;43,0;42,1;43,9;2424;6
"Goes";37274;19000;366;18274;44,4;43,2;45,7;1614;7
"Goirle";23317;11774;551;11543;43,4;42,3;44,5;1223;8
"Gooise Meren";56935;29537;734;27398;42,7;41,2;44,1;3102;8
"Gorinchem";35755;18108;1630;17647;41,3;40,2;42,4;1880;6
"Gouda";71752;36548;3962;35204;41,3;40,4;42,1;3947;6
"Grave";12370;6049;441;6321;43,4;42,5;44,3;552;7
"Groningen";202636;101321;2152;101315;37,0;36,5;37,5;8831;7
"Grootegast";12166;5973;139;6193;41,0;40,6;41,5;622;7
"Gulpen-Wittem";14337;7101;195;7236;47,9;47,0;48,9;471;8
"Haaksbergen";24272;12086;230;12186;44,1;43,1;45,0;1031;8
"Haaren";13912;6817;238;7095;44,5;44,1;44,9;519;8
"Haarlem";159229;81198;4962;78031;40,6;39,6;41,7;9364;7
"Haarlemmerliede c.a.";5665;2849;267;2816;42,5;42,0;42,9;277;7
"Haarlemmermeer";146003;73365;789;72638;40,5;39,8;41,1;7128;7
"Halderberge";29579;14892;393;14687;44,5;43,8;45,2;1347;7
"Hardenberg";60211;29753;190;30458;40,7;40,0;41,5;3337;7
"Harderwijk";46352;23439;960;22913;40,5;39,4;41,6;2698;7
"Hardinxveld-Giessendam";17872;8927;924;8945;39,8;38,7;41,0;1122;7
"Haren";19570;10241;386;9329;45,7;44,0;47,2;1022;9
"Harlingen";15860;7867;41;7993;44,0;42,8;45,3;738;7
