cntry,eneffap,rdcenr,cflsenr,elgcoal,elgngas,elghydr,elgnuc,elgsun,elgwind,elgbio,wrpwrct,wrenexp,wrdpimp,wrdpfos,wrntdis,wrinspw,wrtcfl,wrtratc,clmchng,clmthgt1,clmthgt2,ccnthum,ccrdprs,wrclmch,ccgdbd,lkredcc,lklmten,gvsrdcc,ownrdcc,inctxff,sbsrnen,banhhap,
AT,7,4,6,5,4,1,5,1,1,2,1,3,1,2,3,1,2,2,1,6,2,3,5,3,2,5,7,7,5,2,1,1,
AT,7,4,2,5,5,1,5,1,5,1,3,4,3,4,3,4,3,4,2,6,3,3,3,3,2,6,3,4,5,3,3,1,
AT,7,4,8,88,88,2,88,2,88,88,2,3,3,3,2,2,2,3,2,6,3,2,88,3,88,6,88,88,5,3,2,2,
AT,9,4,7,4,2,2,77,1,1,1,1,1,1,1,1,1,1,3,2,6,3,5,8,3,8,5,7,6,6,2,2,1,
AT,8,3,4,4,4,1,88,4,5,3,1,4,3,3,1,1,1,2,3,6,3,2,5,2,4,5,5,2,88,5,4,3,
AT,8,6,8,5,5,1,5,1,1,2,3,1,1,1,3,3,3,1,2,6,1,4,8,4,7,8,6,8,7,2,3,3,
AT,10,2,5,3,3,1,4,1,3,5,1,3,3,2,1,1,1,1,8,6,1,55,66,6,66,66,66,66,66,4,1,1,
AT,9,3,4,4,3,1,5,1,2,3,1,1,3,3,1,1,2,3,1,6,2,4,5,2,4,6,88,3,5,4,1,2,
AT,8,4,7,5,4,1,5,1,1,2,2,3,3,3,3,2,2,3,1,6,3,3,7,3,3,5,5,4,5,4,1,2,
AT,8,4,6,4,3,1,5,4,5,3,2,2,3,3,1,1,1,2,3,6,3,55,66,6,66,66,66,66,66,5,5,4,
AT,8,6,2,4,4,3,5,3,3,3,1,1,1,1,2,2,2,1,1,6,2,4,7,2,1,8,1,3,2,8,8,8,
AT,0,2,2,4,3,1,4,1,1,5,2,2,3,1,2,2,2,2,2,6,1,4,0,3,0,0,0,0,0,5,3,2,
AT,10,5,10,4,4,2,5,2,2,3,2,3,2,2,2,2,2,2,1,6,4,4,9,4,2,8,6,6,6,2,1,2,
AT,8,4,5,4,4,2,5,2,3,3,2,2,2,2,2,2,2,2,2,6,3,3,6,3,4,5,2,4,4,3,3,2,
AT,9,5,7,5,4,2,5,2,3,4,2,3,3,3,2,2,2,2,2,6,3,3,7,3,4,6,6,6,6,4,2,2,
AT,8,6,7,5,4,3,5,2,2,2,1,2,2,8,2,2,2,2,1,6,3,4,10,4,2,7,4,4,10,2,1,1,
AT,0,1,0,5,5,1,5,1,1,1,1,1,1,4,1,1,1,1,1,6,5,5,0,1,0,0,3,2,4,5,2,1,
AT,9,6,7,5,3,1,5,2,2,2,2,3,2,3,2,1,2,2,2,6,4,3,6,3,4,7,5,5,5,5,1,2,
AT,0,1,0,88,88,1,5,1,1,3,1,1,1,1,1,1,1,1,2,6,1,2,5,3,7,8,2,10,8,5,1,5,
AT,8,3,5,5,5,1,5,1,1,1,2,1,2,1,3,1,1,1,3,6,1,4,6,1,4,6,5,7,7,3,2,2,
AT,9,4,4,5,5,1,5,1,2,5,2,3,2,3,3,2,3,3,2,6,3,3,6,3,3,5,4,4,2,4,2,2,
AT,8,4,5,2,3,2,5,2,2,2,5,5,4,5,1,2,2,5,2,6,3,2,5,3,5,88,88,8,3,4,3,2,
AT,8,3,7,4,4,4,4,4,4,4,2,2,2,3,2,3,2,2,2,6,2,2,3,3,3,5,6,7,7,4,2,2,
AT,8,3,0,4,4,1,5,1,3,3,1,3,2,2,1,1,2,3,2,6,2,4,0,3,88,10,0,5,5,4,1,4,
AT,88,3,5,4,4,1,5,1,1,2,1,2,1,2,3,1,1,2,1,6,3,2,1,2,4,4,5,5,5,3,1,2,
AT,8,3,8,5,4,2,5,2,2,2,1,3,3,2,2,2,2,2,2,6,3,4,8,3,5,6,3,3,6,2,1,4,
AT,10,3,2,5,5,1,5,1,1,1,1,1,1,1,3,1,3,2,2,6,3,3,2,3,0,10,0,4,0,4,1,1,
AT,8,6,7,4,2,1,5,1,1,1,1,4,3,3,2,2,2,2,1,6,5,4,10,5,0,8,3,4,8,5,1,1,
AT,8,4,6,5,4,1,5,1,1,4,2,3,3,2,3,2,3,3,1,6,4,4,7,4,2,7,2,3,7,2,2,2,
AT,10,4,9,5,5,1,5,1,1,5,1,1,1,1,1,1,1,1,1,6,5,3,10,3,0,0,0,5,8,5,2,5,
AT,6,4,5,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,2,6,1,4,6,3,1,3,4,4,2,3,3,3,
AT,5,3,3,88,88,88,88,2,2,88,2,3,8,8,2,8,8,3,2,6,2,88,4,2,88,3,2,88,88,5,4,4,
AT,8,3,7,5,5,1,5,1,1,2,1,2,2,1,3,1,1,2,2,6,2,3,6,3,3,5,4,5,5,2,2,4,
AT,7,3,6,5,5,2,2,2,2,2,3,3,3,3,2,2,2,3,2,6,3,4,4,3,7,7,7,5,7,2,2,2,
AT,7,3,6,88,88,1,55,1,1,1,2,2,2,2,2,1,3,2,2,6,3,4,88,2,4,6,6,5,4,4,1,1,
AT,8,5,2,5,5,1,5,1,1,3,2,2,3,3,2,2,2,3,1,6,5,1,0,1,10,0,2,1,0,2,3,4,
AT,7,2,6,5,4,2,5,1,1,2,1,2,4,3,3,3,3,2,1,6,2,4,4,3,2,6,7,4,6,2,4,2,
