"","Tijdstempel","Student","Postcode","Geslacht","Leeftijd","Merkbekendheid","Reclameactiviteiten","Webshop","Social.media","Koopfactoren","Online.vs.fysiek","Informatietevredenheid","Koopbereidheid","Aanbevelen","Online.niet.aanwezig","Menselijk.contact","Persoonlijke.aandacht","Verbinding","Menselijke.betrokkenheid","Non.verbale.comm","Houding.verkopers","Beeld.verkopers","Community","Informatie.gebruikers","Bedrijf"
"189","23/05/2018 20:21:23","Ja",6538,"Vrouw","24","Ja","Maandelijks","Nee","Ja","Prijs","Fysieke winkel",4,"Ja","Ja","Nee",4,3,4,4,5,3,4,5,3,"G-Star"
"190","23/05/2018 20:21:47","Ja",6511,"Man","25","Ja","Dagelijks","Ja","Ja","Prijs, Plaats, Kwaliteit","Fysieke winkel",5,"Nee","Nee","Ja",3,2,1,4,5,3,5,5,1,"G-Star"
"191","23/05/2018 20:22:53","Ja",6545,"Man","22","Ja","Wekelijks","Ja","Nee","Reclame, Kwaliteit","Fysieke winkel",3,"Nee","Nee","Ja",3,3,2,3,5,5,3,4,4,"G-Star"
"192","23/05/2018 20:23:50","Ja",6544,"Vrouw","21","Ja","Wekelijks","Ja","Ja","Prijs, Plaats","Online",4,"Ja","Ja","Ja",4,4,3,4,5,4,4,5,3,"G-Star"
"193","23/05/2018 20:24:31","Ja",6591,"Man","18","Ja","Maandelijks","Nee","Ja","Prijs, Plaats","Fysieke winkel",5,"Ja","Ja","Nee",4,1,4,3,2,5,1,3,2,"G-Star"
"194","23/05/2018 20:24:42","Ja",6534,"Man","25","Ja","Wekelijks","Nee","Ja","Prijs, Plaats, Personeel, Kwaliteit","Fysieke winkel",4,"Nee","Ja","Ja",4,4,4,3,5,3,5,4,3,"G-Star"
"195","25/04/2018 15:48:01","Ja",6566,"Vrouw","20","Ja","Maandelijks","Ja","Nee","Prijs, Reclame, Plaats","Fysieke winkel",4,"Ja","Ja","Nee",3,3,2,2,3,3,3,3,3,"Ikea"
"196","25/04/2018 15:48:50","Ja",6566,"Man","17 of jonger","Ja","Maandelijks","Ja","Ja","Reclame","Online",4,"Ja","Ja","Ja",3,3,3,3,3,3,3,3,3,"Ikea"
"197","25/04/2018 15:50:15","Ja",6578,"Man","20","Ja","Wekelijks","Ja","Ja","Prijs, Kwaliteit","Online",4,"Ja","Ja","Ja",2,3,3,3,3,4,4,5,4,"Ikea"
"198","25/04/2018 15:52:40","Ja",9712,"Vrouw","21","Ja","Maandelijks","Nee","Ja","Prijs, Plaats","Online",3,"Nee","Nee","Nee",2,3,2,2,3,4,4,4,3,"Ikea"
"199","25/04/2018 16:02:31","Ja",5446,"Vrouw","19","Ja","Maandelijks","Ja","Ja","Prijs, Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",3,2,3,2,3,2,1,2,1,"Ikea"
"200","25/04/2018 16:06:27","Ja",5446,"Man","18","Ja","Maandelijks","Ja","Nee","Prijs, Kwaliteit","Online",3,"Nee","Nee","Nee",3,3,1,1,1,1,1,1,1,"Ikea"
"201","25/04/2018 16:14:54","Ja",6511,"Vrouw","18","Ja","Maandelijks","Ja","Nee","Prijs, Plaats","Fysieke winkel",3,"Ja","Ja","Ja",2,2,2,2,3,3,3,3,3,"Ikea"
"202","25/04/2018 16:16:22","Ja",6566,"Vrouw","22","Ja","Maandelijks","Ja","Ja","Prijs, Reclame","Fysieke winkel",4,"Ja","Ja","Ja",4,4,4,4,4,4,4,4,4,"Ikea"
"203","25/04/2018 16:19:20","Ja",6566,"Vrouw","19","Ja","Maandelijks","Ja","Nee","Prijs, Plaats, Kwaliteit","Online",4,"Ja","Ja","Ja",3,3,3,3,3,3,3,3,3,"Ikea"
"204","25/04/2018 16:19:39","Ja",6546,"Vrouw","21","Ja","Wekelijks","Ja","Ja","Prijs, Kwaliteit","Online",3,"Ja","Ja","Nee",4,4,2,2,3,1,1,4,3,"Ikea"
"205","25/04/2018 16:22:25","Ja",3063,"Vrouw","22","Ja","Maandelijks","Ja","Nee","Prijs, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Nee",3,4,3,3,4,4,3,3,3,"Ikea"
"206","25/04/2018 16:22:56","Ja",6701,"Vrouw","24","Ja","Nooit","Ja","Nee","Prijs, Plaats, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",3,1,2,1,3,3,4,3,3,"Ikea"
"207","25/04/2018 16:23:24","Ja",6578,"Vrouw","19","Ja","Wekelijks","Ja","Ja","Prijs, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Nee",3,2,4,3,3,3,3,3,3,"Ikea"
"208","25/04/2018 16:34:31","Ja",6533,"Man","18","Ja","Nooit","Nee","Ja","Prijs, Kwaliteit","Fysieke winkel",4,"Nee","Nee","Nee",2,3,3,2,3,2,2,3,3,"Ikea"
"209","25/04/2018 16:45:59","Ja",6512,"Vrouw","19","Ja","Wekelijks","Ja","Ja","Prijs, Kwaliteit","Fysieke winkel",3,"Ja","Ja","Nee",2,2,2,2,2,2,2,2,2,"Ikea"
"210","25/04/2018 16:46:00","Ja",6566,"Vrouw","18","Ja","Wekelijks","Ja","Nee","Prijs, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Nee",2,2,2,2,3,2,3,3,2,"Ikea"
"211","25/04/2018 16:49:31","Ja",6566,"Vrouw","18","Ja","Maandelijks","Ja","Nee","Prijs, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",2,2,1,1,3,4,1,1,4,"Ikea"
"212","25/04/2018 16:50:39","Ja",6512,"Man","22","Ja","Maandelijks","Ja","Ja","Prijs, Reclame, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",3,3,3,3,4,3,4,4,3,"Ikea"
"213","25/04/2018 17:06:30","Ja",6533,"Vrouw","19","Ja","Wekelijks","Ja","Nee","Prijs, Plaats, Kwaliteit","Fysieke winkel",3,"Ja","Ja","Nee",2,4,2,2,3,1,1,2,3,"Ikea"
"214","25/04/2018 17:18:08","Ja",6511,"Vrouw","20","Ja","Maandelijks","Ja","Ja","Prijs, Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Nee",2,1,1,1,1,2,1,2,3,"Ikea"
"215","25/04/2018 17:58:43","Ja",6681,"Man","19","Ja","Maandelijks","Ja","Nee","Prijs, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",4,3,5,2,4,2,5,2,3,"Ikea"
"216","25/04/2018 18:06:55","Ja",6566,"Vrouw","18","Ja","Maandelijks","Ja","Nee","Prijs, Kwaliteit","Fysieke winkel",4,"Nee","Ja","Ja",2,3,2,3,4,3,3,3,4,"Ikea"
"217","25/04/2018 18:09:31","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ikea"
"218","25/04/2018 18:09:39","Ja",5446,"Vrouw","18","Ja","Dagelijks","Ja","Nee","Prijs, Kwaliteit","Online",5,"Ja","Ja","Ja",4,3,2,4,3,3,4,4,3,"Ikea"
"219","25/04/2018 18:55:41","Ja",6566,"Vrouw","18","Ja","Maandelijks","Ja","Ja","Prijs, Reclame, Personeel, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Nee",4,4,3,3,3,3,3,4,4,"Ikea"
"220","25/04/2018 19:46:51","Ja",6691,"Vrouw","17 of jonger","Ja","Maandelijks","Nee","Ja","Prijs, Reclame, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",3,3,3,4,3,3,3,3,3,"Ikea"
