"","Tijdstempel","Bent u student","Wat is uw geslacht","Wat is uw leeftijd","Waarop maakt u deze enquete?","Hoelang verwacht u op zoek te zijn naar de prijs van de onderstaande klok? Deze klok is van Ikea","Bereidheid","Starttijd","Eindtijd","Link","Prijs","Bron","Tevredenheid","Zoektijd"
"32","2018/04/26 3:44:44 p.m. EET","Ja","Vrouw","20","Laptop","3-5 Minuten","Langer dan 10 minuten",12:30:00,12:32:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",8,"Zoekmachine",4,"120"
"33","2018/04/26 3:45:27 p.m. EET","Ja","Man","18","Mobiele telefoon","0-2 Minuten","3-5 minuten",15:44:00,15:44:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"0"
"34","2018/04/26 3:45:28 p.m. EET","Ja","Man","23","Mobiele telefoon","3-5 Minuten","3-5 minuten",10:35:00,10:37:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",8,"Zoekmachine",3,"120"
"35","2018/04/26 3:46:41 p.m. EET","Ja","Vrouw","Jonger dan 17","Mobiele telefoon","6-9 Minuten","Langer dan 10 minuten",09:50:00,09:56:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",8,"Zoekmachine",3,"360"
"36","2018/04/26 3:47:26 p.m. EET","Ja","Vrouw","18","Laptop","0-2 Minuten","6-9 minuten",13:03:00,13:05:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",8,"Website van het merk",4,"120"
"37","2018/04/26 3:49:24 p.m. EET","Ja","Man","21","Mobiele telefoon","0-2 Minuten","Langer dan 10 minuten",15:49:00,15:49:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",8,"Zoekmachine",4,"0"
"38","2018/04/26 3:58:03 p.m. EET","Ja","Vrouw","19","Mobiele telefoon","0-2 Minuten","0-2 minuten",15:57:00,15:57:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",8,"Zoekmachine",4,"0"
"39","2018/04/26 3:58:39 p.m. EET","Ja","Man","17","Mobiele telefoon","0-2 Minuten","3-5 minuten",15:58:00,15:59:00,"https://www.ikea.com/nl/nl/catalog/products/90357868/",8,"Zoekmachine",3,"60"
"40","2018/04/26 4:37:52 p.m. EET","Ja","Vrouw","18","Mobiele telefoon","0-2 Minuten","0-2 minuten",16:36:00,16:37:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Website van het merk",4,"60"
"41","2018/04/26 5:01:44 p.m. EET","Ja","Man","20","Mobiele telefoon","0-2 Minuten","3-5 minuten",17:00:00,17:00:00,"https://m.ikea.com/nl/nl/catalog/products/art/90357868/",7.99,"Zoekmachine",4,"0"
