"","Tijdstempel","Student","Geslacht","Leeftijd","Woonsituatie","Opleiding","Postcode","Waardering","Menselijk","Aangenaam","Persoonlijk","Non.Verbale.Comm","Betrokkenheid","Recensies","Populariteit","Bedrijf"
"47","30-4-2018 16:33:51","Ja","Vrouw","17 of jonger","Thuiswonend","HAVO",6845,8,4,8,7,7,5,6,7,"ZARA"
"48","30-4-2018 16:36:10","Ja","Man","19","Uitwonend","VWO",7317,7,6,7,7,6,4,5,5,"ZARA"
"49","30-4-2018 21:16:53","Ja","Man","18","Thuiswonend","HAVO",7334,7,6,6,6,8,7,6,8,"ZARA"
"50","1-5-2018 18:06:31","Ja","Vrouw","20","Thuiswonend","HBO",7322,6,4,4,4,6,6,6,4,"ZARA"
"51","2-5-2018 20:22:34","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZARA"
"52","2-5-2018 20:23:01","Ja","Man","23+","Uitwonend","MBO",NA,7,8,7,9,8,6,8,8,"ZARA"
"53","2-5-2018 20:23:15","Ja","Man","20","Thuiswonend","VWO",6843,8,7,7,7,9,6,9,9,"ZARA"
"54","8-5-2018 22:33:10","Ja","Man","18","Thuiswonend","HAVO",7334,8,6,7,7,7,8,6,9,"ZARA"
"55","8-5-2018 22:33:51","Ja","Man","18","Thuiswonend","HAVO",7334,6,6,7,7,7,7,6,8,"ZARA"
"56","8-5-2018 22:34:20","Ja","Man","18","Thuiswonend","HAVO",7334,7,7,8,7,7,8,6,7,"ZARA"
"57","8-5-2018 22:34:52","Ja","Man","18","Thuiswonend","HAVO",7334,7,7,7,7,6,7,6,7,"ZARA"
"58","8-5-2018 22:35:20","Ja","Man","18","Thuiswonend","HAVO",7334,7,7,8,8,7,7,6,8,"ZARA"
"59","8-5-2018 22:35:46","Ja","Man","18","Thuiswonend","HAVO",7334,7,8,8,8,7,6,6,7,"ZARA"
"60","8-5-2018 22:53:41","Ja","Man","19","Thuiswonend","HAVO",7334,8,8,8,8,8,8,8,8,"ZARA"
"61","8-5-2018 22:53:48","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZARA"
"62","8-5-2018 22:53:57","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZARA"
"63","8-5-2018 22:54:48","Ja","Vrouw","18","Thuiswonend","MBO",5155,9,7,10,8,10,7,7,8,"ZARA"
"64","8-5-2018 22:55:25","Ja","Man","18","Thuiswonend","HAVO",7331,8,7,8,7,9,6,6,7,"ZARA"
"65","8-5-2018 22:56:18","Ja","Man","19","Thuiswonend","MBO",7901,7,5,6,5,8,7,6,6,"ZARA"
"66","9-5-2018 10:05:40","Ja","Vrouw","19","Thuiswonend","VWO",7002,7,6,7,7,7,5,6,9,"ZARA"
"67","9-5-2018 10:06:15","Ja","Man","20","Thuiswonend","HAVO",7306,8,7,7,7,7,8,7,6,"ZARA"
"68","9-5-2018 10:06:44","Ja","Vrouw","20","Thuiswonend","MBO",7002,7,7,8,6,5,7,7,8,"ZARA"
"69","9-5-2018 10:07:23","Ja","Vrouw","18","Thuiswonend","HAVO",7331,8,8,8,8,8,8,8,8,"ZARA"
"70","9-5-2018 10:08:44","Ja","Man","18","Thuiswonend","HAVO",6882,6,6,6,6,6,6,6,6,"ZARA"
"71","9-5-2018 10:09:35","Ja","Vrouw","20","Thuiswonend","VWO",6951,7,6,6,7,8,6,5,8,"ZARA"
"72","9-5-2018 10:10:19","Ja","Vrouw","19","Thuiswonend","HAVO",7002,7,7,7,6,8,6,8,8,"ZARA"
"73","9-5-2018 10:10:29","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZARA"
"74","9-5-2018 10:11:28","Ja","Man","18","Thuiswonend","HAVO",7306,7,7,7,6,8,6,5,6,"ZARA"
"75","9-5-2018 10:11:53","Ja","Vrouw","20","Thuiswonend","MBO",7002,8,8,8,8,8,8,8,8,"ZARA"
"76","9-5-2018 10:12:27","Ja","Man","20","Thuiswonend","MBO",6951,7,7,6,6,7,5,6,7,"ZARA"
"77","9-5-2018 10:13:44","Ja","Vrouw","19","Thuiswonend","MBO",6813,6,7,7,6,9,7,6,7,"ZARA"
"78","9-5-2018 10:14:12","Ja","Vrouw","18","Thuiswonend","HAVO",6813,7,6,6,7,7,8,5,8,"ZARA"
"79","9-5-2018 10:14:43","Ja","Vrouw","19","Thuiswonend","VWO",6813,7,6,7,6,8,6,6,8,"ZARA"
"80","9-5-2018 10:15:27","Ja","Man","18","Thuiswonend","HAVO",6813,6,6,5,6,7,5,5,6,"ZARA"
"81","9-5-2018 10:16:09","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZARA"
"82","9-5-2018 10:16:58","Ja","Vrouw","21","Uitwonend","VWO",7306,6,7,7,7,6,6,6,7,"ZARA"
"83","9-5-2018 10:17:10","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZARA"
"84","9-5-2018 10:17:33","Ja","Vrouw","19","Thuiswonend","HAVO",7306,7,7,7,7,7,7,7,7,"ZARA"
"85","9-5-2018 10:18:51","Ja","Man","18","Thuiswonend","HAVO",6846,7,7,7,6,8,6,8,7,"ZARA"
"86","9-5-2018 10:19:14","Ja","Vrouw","20","Thuiswonend","MBO",6846,7,5,5,5,8,6,6,6,"ZARA"
"87","9-5-2018 10:19:40","Ja","Vrouw","19","Thuiswonend","VWO",6846,6,7,7,6,7,7,7,8,"ZARA"
"88","9-5-2018 10:20:09","Ja","Man","18","Thuiswonend","HAVO",6846,6,6,6,5,7,6,6,7,"ZARA"
"89","9-5-2018 10:21:05","Ja","Vrouw","20","Thuiswonend","MBO",6846,7,6,6,6,8,7,8,7,"ZARA"
"90","9-5-2018 10:21:43","Ja","Man","18","Thuiswonend","MBO",6846,6,6,6,6,8,6,7,8,"ZARA"
"91","9-5-2018 10:22:11","Ja","Vrouw","23+","Uitwonend","HBO",6846,7,7,6,9,8,8,8,9,"ZARA"
"92","9-5-2018 10:22:17","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZARA"
"93","9-5-2018 10:22:21","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZARA"
"94","9-5-2018 10:22:50","Ja","Man","22","Uitwonend","HBO",6846,6,7,7,6,7,7,6,8,"ZARA"
"95","9-5-2018 10:24:02","Ja","Vrouw","18","Thuiswonend","VWO",7334,6,6,6,6,8,5,5,7,"ZARA"
"96","9-5-2018 10:24:23","Ja","Vrouw","19","Thuiswonend","VWO",7334,6,6,8,8,8,6,6,7,"ZARA"
"97","9-5-2018 10:24:58","Ja","Man","20","Thuiswonend","MBO",7334,7,7,7,7,8,7,7,7,"ZARA"
"98","9-5-2018 10:25:37","Ja","Vrouw","22","Thuiswonend","HBO",7002,7,6,7,7,6,5,6,8,"ZARA"
