"","Tijdstempel","Student","Verzenden","Geslacht","Leeftijd","Device","Zoektijd.Verwacht","Zoektijd.Bereid","Begintijd","Eindtijd","Url","Prijs","Beginpunt","Tevredenheid","Bedrijf","Zoektijd"
"231","7-5-2018 16:09:23","Ja",NA,"Man","19","Mobiele telefoon","0-2 minuten","0-2 minuten",16:08:00,16:12:00,"https://www.g-star.com/nl_nl/shop/heren/sweaters/d07857-k007-6484?bgid=16196-AGI-32191522240-ASI-279611085509-853748925&gclid=CjwKCAjw8r_XBRBkEiwAjWGLlGWmF8poCdX0XEmpavjOigkZeYGG-MmaUOXYF9ykvuy_VRn6bnv7PhoCSvcQAvD_BwE","79.95","Website van het merk",2,"G-Star",240
"232","7-5-2018 16:10:13","Ja",NA,"Vrouw","18","Tablet","3-5 minuten","0-2 minuten",18:55:00,18:59:00,"https://www.g-star.com/nl_nl/shop/heren/sweaters/d07857-k007-6484?bgid=16196-AGI-32191522240-ASI-279611085509-853748925&gclid=CjwKCAjw8r_XBRBkEiwAjWGLlGWmF8poCdX0XEmpavjOigkZeYGG-MmaUOXYF9ykvuy_VRn6bnv7PhoCSvcQAvD_BwE","79.95","Website van het merk",3,"G-Star",240
"233","7-5-2018 16:11:08","Ja",NA,"Man","22","Mobiele telefoon","0-2 minuten","0-2 minuten",21:44:00,21:45:00,"https://www.g-star.com/nl_nl/shop/heren/sweaters/d07857-k007-6484?bgid=16196-AGI-32191522240-ASI-279611085509-853748925&gclid=CjwKCAjw8r_XBRBkEiwAjWGLlGWmF8poCdX0XEmpavjOigkZeYGG-MmaUOXYF9ykvuy_VRn6bnv7PhoCSvcQAvD_BwE","79.95","Zoekmachines",4,"G-Star",60
"234","7-5-2018 16:11:23","Nee","Verzenden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G-Star",NA
"235","7-5-2018 16:12:43","Ja",NA,"Man","21","Mobiele telefoon","3-5 minuten","3-5 minuten",11:55:00,12:00:00,"https://www.g-star.com/nl_nl/shop/heren/sweaters/d07857-k007-6484?bgid=16196-AGI-32191522240-ASI-279611085509-853748925&gclid=CjwKCAjw8r_XBRBkEiwAjWGLlGWmF8poCdX0XEmpavjOigkZeYGG-MmaUOXYF9ykvuy_VRn6bnv7PhoCSvcQAvD_BwE","79.95","Website van het merk",2,"G-Star",300
"236","7-5-2018 16:14:05","Ja",NA,"Man","23","Computer","3-5 minuten","6-9 minuten",20:33:00,20:36:00,"https://www.g-star.com/nl_nl/shop/heren/sweaters/d07857-k007-6484?bgid=16196-AGI-32191522240-ASI-279611085509-853748925&gclid=CjwKCAjw8r_XBRBkEiwAjWGLlGWmF8poCdX0XEmpavjOigkZeYGG-MmaUOXYF9ykvuy_VRn6bnv7PhoCSvcQAvD_BwE","79.95","Website van het merk",3,"G-Star",180
"237","7-5-2018 16:15:17","Ja",NA,"Man","23","Mobiele telefoon","0-2 minuten","0-2 minuten",15:56:00,15:57:00,"https://www.g-star.com/nl_nl/shop/heren/sweaters/d07857-k007-6484?bgid=16196-AGI-32191522240-ASI-279611085509-853748925&gclid=CjwKCAjw8r_XBRBkEiwAjWGLlGWmF8poCdX0XEmpavjOigkZeYGG-MmaUOXYF9ykvuy_VRn6bnv7PhoCSvcQAvD_BwE","79.95","Zoekmachines",4,"G-Star",60
"238","7-5-2018 16:19:40","Ja",NA,"Man","20","Tablet","3-5 minuten","0-2 minuten",14:52:00,14:55:00,"https://www.g-star.com/nl_nl/shop/heren/sweaters/d07857-k007-6484?bgid=16196-AGI-32191522240-ASI-279611085509-853748925&gclid=CjwKCAjw8r_XBRBkEiwAjWGLlGWmF8poCdX0XEmpavjOigkZeYGG-MmaUOXYF9ykvuy_VRn6bnv7PhoCSvcQAvD_BwE","79.95","Zoekmachines",3,"G-Star",180
"239","7-5-2018 16:20:30","Ja",NA,"Man","22","Laptop","0-2 minuten","0-2 minuten",10:10:00,10:13:00,"https://www.g-star.com/nl_nl/shop/heren/sweaters/d07857-k007-6484?bgid=16196-AGI-32191522240-ASI-279611085509-853748925&gclid=CjwKCAjw8r_XBRBkEiwAjWGLlGWmF8poCdX0XEmpavjOigkZeYGG-MmaUOXYF9ykvuy_VRn6bnv7PhoCSvcQAvD_BwE","80","Website van het merk",3,"G-Star",180
"240","7-5-2018 16:21:20","Ja",NA,"Man","17","Tablet","3-5 minuten","3-5 minuten",07:45:00,07:48:00,"https://www.g-star.com/nl_nl/shop/heren/sweaters/d07857-k007-6484?bgid=16196-AGI-32191522240-ASI-279611085509-853748925&gclid=CjwKCAjw8r_XBRBkEiwAjWGLlGWmF8poCdX0XEmpavjOigkZeYGG-MmaUOXYF9ykvuy_VRn6bnv7PhoCSvcQAvD_BwE","80","Zoekmachines",3,"G-Star",180
"241","7-5-2018 16:24:11","Ja",NA,"Man","18","Tablet","0-2 minuten","3-5 minuten",14:21:00,14:23:00,"https://www.g-star.com/nl_nl/shop/heren/sweaters/d07857-k007-6484?bgid=16196-AGI-32191522240-ASI-279611085509-853748925&gclid=CjwKCAjw8r_XBRBkEiwAjWGLlGWmF8poCdX0XEmpavjOigkZeYGG-MmaUOXYF9ykvuy_VRn6bnv7PhoCSvcQAvD_BwE","`79.95","Zoekmachines",3,"G-Star",120
